,soup
963,"['denzel washington', 'dakota fanning', 'marc anthony', 'radha mitchell', 'christopher walken'] tony scott ['mexico', 'cia', 'diary', 'bible', 'bodyguard'] jaded ex-cia operative john creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in mexico city. they clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life. man on fire  ['action', 'crime', 'drama', 'mystery', 'thriller']"
964,"['ben stiller', 'jennifer aniston', 'philip seymour hoffman', 'debra messing', 'alec baldwin'] john hamburg ['beach', 'honeymoon', 'bride', 'chance', 'risk'] reuben feffer is a guy who's spent his entire life playing it safe. polly prince is irresistible as a free-spirit who lives for the thrill of the moment. when these two comically mismatched souls collide, reuben's world is turned upside down, as he makes an uproarious attempt to change his life from middle-of-the-road to totally-out-there. along came polly  ['comedy', 'romance']"
965,"['natalie portman', 'jude law', 'julia roberts', 'clive owen', 'colin stinton'] mike nichols ['father-son relationship', 'love at first sight', 'photographer', 'loss of lover', 'cheating'] a witty, romantic, and very dangerous love story about chance meetings, instant attractions, and casual betrayals. two couples disintegrate when they begin destructive adulterous affairs with each other. closer  ['drama', 'romance']"
966,"['thomas jane', 'john travolta', 'will patton', 'roy scheider', 'laura harring'] jonathan hensleigh ['chain', 'submachine gun', 'undercover', 'smuggling', 'twin brother'] when undercover fbi agent frank castle's wife and son are slaughtered, he becomes 'the punisher' -- a ruthless vigilante willing to go to any length to avenge his family. punisher, the  ['action', 'crime', 'thriller']"
967,"['sarah polley', 'ving rhames', 'jake weber', 'mekhi phifer', 'ty burrell'] zack snyder ['refugee', 'mass murder', 'habor', 'car journey', 'department store'] a group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. a remake of the 1978 zombie film of the same name. dawn of the dead  ['action', 'drama', 'horror', 'thriller']"
968,"['clive owen', 'ioan gruffudd', 'keira knightley', 'mads mikkelsen', 'joel edgerton'] antoine fuqua ['merlin', 'king arthur', 'sir lancelot', 'guinevere'] the story of the arthurian legend, based on the 'sarmatian hypothesis' which contends that the legend has a historical nucleus in the sarmatian heavy cavalry troops stationed in britain, and that the roman-british military commander, lucius artorius castus is the historical person behind the legend. king arthur  ['action', 'adventure', 'drama', 'war']"
969,"['vin diesel', 'christina cox', 'colm feore', 'karl urban', 'judi dench'] david twohy ['sunrise', 'adventure', 'dystopia', 'matter of life and death', 'rifle'] five years after the events in sci-fi film pitch black, escaped convict riddick finds himself caught in the middle of a galactic war waged by lord marshal, the leader of a sect called the necromongers. riddick is charged with stopping the necromonger army, all while rescuing an old friend from a prison planet and evading capture by bounty hunters. chronicles of riddick, the  ['action', 'sci-fi', 'thriller']"
970,"['adam sandler', 'tã©a leoni', 'paz vega', 'cloris leachman', 'shelbie bruce'] james l. brooks ['upper class', 'mother', 'single parent', 'parents kids relationship', 'wife husband relationship'] mexican immigrant and single mother flor moreno finds housekeeping work with deborah and john clasky, a well-off couple with two children of their own. when flor admits she can't handle the schedule because of her daughter, cristina, deborah decides they should move into the clasky home. cultures clash and tensions run high as flor and the claskys struggle to share space while raising their children on their own, and very different, terms. spanglish  ['comedy', 'drama', 'romance']"
971,"['johnny depp', 'john turturro', 'timothy hutton', 'charles s. dutton', 'len cariou'] david koepp ['alcohol', 'adultery', 'detective', 'mississippi', 'jealousy'] mort rainey, a writer just emerging from a painful divorce with his ex-wife, is stalked at his remote lake house by a psychotic stranger and would-be scribe who claims rainey swiped his best story idea. but as rainey endeavors to prove his innocence, he begins to question his own sanity. secret window  ['mystery', 'thriller']"
972,"['daniel craig', 'colm meaney', 'george harris', 'sally hawkins', 'kenneth cranham'] matthew vaughn ['ecstasy', 'drug traffic', 'drug mule', 'hitman', 'mission of murder'] when a seemingly straight-forward drug deal goes awry, xxxx has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin... layer cake  ['crime', 'drama', 'thriller']"
973,"['ethan hawke', 'julie delpy', 'vernon dobtcheff', 'louise lemoine torrã¨s', 'mariane plasteig'] richard linklater ['paris', 'journalist', 'dialogue', 'talking', 'soulmates'] nine years ago two strangers met by chance and spent a night in vienna that ended before sunrise. they are about to meet for the first time since. now they have one afternoon to find out if they belong together. before sunset  ['drama', 'romance']"
974,"['sarah michelle gellar', 'jason behr', 'william mapother', 'clea duvall', 'kadee strickland'] takashi shimizu ['male nudity', 'nurse', 'japanese', 'house', 'curse'] karen davis is an american nurse moves to tokyo and encounter a supernatural spirit who is vengeful and often possesses its victims. a series of horrifying and mysterious deaths start to occur, with the spirit passing its curse onto each victim. karen must now find away to break this spell, before she becomes its next victim. grudge, the  ['horror', 'mystery', 'thriller']"
975,"['denzel washington', 'meryl streep', 'liev schreiber', 'jon voight', 'kimberly elise'] jonathan demme ['senator', 'gulf war', 'canoe', 'kuwait', 'conspiracy'] when his army unit was ambushed during the first gulf war, sergeant raymond shaw saved his fellow soldiers just as his commanding officer, then-captain ben marco, was knocked unconscious. brokering the incident for political capital, shaw eventually becomes a vice-presidential nominee, while marco is haunted by dreams of what happened -- or didn't happen -- in kuwait. as marco (now a major) investigates, the story begins to unravel, to the point where he questions if it happened at all. is it possible the entire unit was kidnapped and brainwashed to believe shaw is a war hero as part of a plot to seize the white house? some very powerful people at manchurian global corporation appear desperate to stop him from finding out. manchurian candidate, the  ['thriller']"
976,"['christian bale', 'jennifer jason leigh', 'aitana sã¡nchez-gijã³n', 'john sharian', 'michael ironside'] brad anderson ['factory', 'insomnia', 'post it', 'machinist', 'cleaning bathroom tile'] the machinist is the story of trevor reznik, a lathe-operator who is dying of insomnia. in a machine shop, occupational hazards are bad enough under normal circumstances; yet for trevor the risks are compounded by fatigue. trevor has lost the ability to sleep. this is no ordinary insomnia... the machinist  ['drama', 'mystery', 'thriller']"
977,"['nicole kidman', 'matthew broderick', 'bette midler', 'glenn close', 'christopher walken'] frank oz ['android', 'housewife', 'transformation'] what does it take to become a stepford wife, a woman perfect beyond belief? ask the stepford husbands, who've created this high-tech, terrifying little town. stepford wives, the  ['comedy', 'fantasy', 'thriller']"
978,"['shane carruth', 'david sullivan', 'casey gooden', 'anand upadhyaya', 'carrie crawford'] shane carruth ['distrust', 'garage', 'identity crisis', 'time travel', 'time machine'] friends/fledgling entrepreneurs invent a device in their garage that reduces the apparent mass of any object placed inside it, but they accidentally discover that it has some highly unexpected capabilities--ones that could enable them to do and to have seemingly anything they want.  taking advantage of this unique opportunity is the first challenge they face.  dealing with the consequences is the next. primer  ['drama', 'sci-fi']"
979,"['viggo mortensen', 'zuleikha robinson', 'omar sharif', 'adam alexi-malle', 'louise lombard'] joe johnston ['horse race', 'horse', 'racehorse'] set in 1890, this is the story of a pony express courier who travels to arabia to compete with his horse, hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world... hidalgo  ['adventure', 'drama']"
980,"['jason schwartzman', 'dustin hoffman', 'lily tomlin', 'jude law', 'mark wahlberg'] david o. russell ['sex', 'detective', 'jealousy', 'humor', 'protest'] a husband-and-wife team play detective, but not in the traditional sense. instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means. i heart huckabees  ['comedy']"
981,"['michael moore', 'george w. bush', 'ben affleck', 'stevie wonder', 'al gore'] michael moore ['u.s. president', 'jihad', 'saudi-arabia', 'war on terror', 'iraq'] michael moore's view on what happened to the united states after september 11; and how the bush administration allegedly used the tragic event to push forward its agenda for unjust wars in afghanistan and iraq. fahrenheit 9/11  ['documentary']"
982,"['don cheadle', 'sophie okonedo', 'nick nolte', 'fana mokoena', 'joaquin phoenix'] terry george ['rwanda', 'refugee', 'refugee camp', 'militia', 'murder'] inspired by true events, this film takes place in rwanda in the 1990s when more than a million tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. hotel owner paul rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives. hotel rwanda  ['drama', 'war']"
983,"['trey parker', 'matt stone', 'kristen miller', 'masasa moyo', 'daran norris'] trey parker ['paris', 'france', 'cairo', 'capitalism', 'loss of lover'] team america world police follows an international police force dedicated to maintaining global stability. learning that dictator kim jong il is out to destroy the world, the team recruits broadway star gary johnston to go undercover. with the help of team america, gary manages to uncover the plan to destroy the world. will team america be able to save it in time? it starsâ€¦ samuel l jackson, tim robbins, sean penn, michael moore, helen hunt, matt damon, susan sarandon, george clooney, danny glover, ethan hawke, alec baldwinâ€¦ or does it? team america: world police  ['action', 'adventure', 'animation', 'comedy']"
984,"['paul giamatti', 'thomas haden church', 'virginia madsen', 'sandra oh', 'marylouise burke'] alexander payne ['california', 'golf', 'oscar award', 'wine', 'stag night'] two middle-aged men embark on a spiritual journey through californian wine country. one is an unpublished novelist suffering from depression, and the other is only days away from walking down the aisle. sideways  ['comedy', 'drama', 'romance']"
985,"['jena malone', 'mandy moore', 'macaulay culkin', 'patrick fugit', 'heather matarazzo'] brian dannelly ['christianity', 'gay', 'coming out', 'independent film', 'coming of age'] teenage mary cummings, who has ""been born again her whole life,"" is about to enter her senior year at american eagle christian high school near baltimore with her fundamentalist christian friends hilary faye and veronica, the three of whom have formed a girl group called the christian jewels. everything seems perfectâ€”until maryâ€™s ""perfect christian boyfriend"" dean tells her, as theyâ€™re swimming underwater, that he thinks he's gay. saved!  ['comedy', 'drama']"
986,"['ben stiller', 'owen wilson', 'snoop dogg', 'fred williamson', 'vince vaughn'] todd phillips ['informant', 'jumping from a rooftop', 'surveillance footage'] join uptight david starsky and laid-back ken ""hutch"" hutchinson as they're paired for the first time as undercover cops. the new partners must overcome their differences to solve an important case with help from street informant huggy bear and persuasive criminal reese feldman. starsky & hutch  ['action', 'comedy', 'crime', 'thriller']"
987,"['bryce dallas howard', 'joaquin phoenix', 'adrien brody', 'william hurt', 'sigourney weaver'] m. night shyamalan ['forest'] when a willful young man tries to venture beyond his sequestered pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever. village, the  ['drama', 'mystery', 'thriller']"
988,"['jim caviezel', 'maia morgenstern', 'christo jivkov', 'francesco de vito', 'monica bellucci'] mel gibson ['christianity', 'jewry', 'roman empire', 'jesus christ', 'suffering'] ""the passion of the christ"" is a film about the last 12 hours in the life of jesus. director mel gibson received much criticism from critics and audiences for his explicit depiction of and focus on violence and on christs suffering, especially on the part of the jewish community. the films languages are arabic, latin and hebrew and its actors are laymen which was controversially received as well. passion of the christ, the  ['drama']"
989,"['jamie foxx', 'kerry washington', 'regina king', 'harry lennix', 'clifton powell'] taylor hackford ['black people', 'soul', 'country music', 'loss of brother', '1970s'] born on a sharecropping plantation in northern florida, ray charles went blind at seven. inspired by a fiercely independent mom who insisted he make his own way, he found his calling and his gift behind a piano keyboard. touring across the southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered couping gospel and country together. ray  ['drama']"
990,"['gerard butler', 'emmy rossum', 'patrick wilson', 'miranda richardson', 'minnie driver'] joel schumacher ['dancing', 'obsession', 'auction', 'wheelchair', 'rose'] deformed since birth, a bitter man known only as the phantom lives in the sewers underneath the paris opera house. he falls in love with the obscure chorus singer christine, and privately tutors her while terrorizing the rest of the opera house and demanding christine be given lead roles. things get worse when christine meets back up with her childhood acquaintance raoul and the two fall in love phantom of the opera, the  ['drama', 'musical', 'romance']"
991,"['zach braff', 'natalie portman', 'ian holm', 'peter sarsgaard', 'kenneth graymez'] zach braff ['individual', 'new jersey', 'paraplegic', 'loss of mother', 'expensive restaurant'] andrew returns to his hometown for the funeral of his mother, a journey that reconnects him with past friends. the trip coincides with his decision to stop taking his powerful antidepressants. a chance meeting with sam - a girl also suffering from various maladies - opens up the possibility of rekindling emotional attachments, confronting his psychologist father, and perhaps beginning a new life. garden state  ['comedy', 'drama', 'romance']"
992,"['jon heder', 'aaron ruell', 'jon gries', 'efren ramirez', 'shondrella avery'] jared hess ['underdog', 'brother brother relationship', 'idaho', 'high school', 'chat'] a listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home. napoleon dynamite  ['comedy']"
993,"['bill murray', 'anjelica huston', 'cate blanchett', 'willem dafoe', 'owen wilson'] wes anderson ['ocean', 'film making', 'loss of mother', 'cynic', 'red cap'] wes andersonâ€™s incisive quirky comedy build up stars complex characters like in â€˜the royal tenenbaumsâ€™ with bill murray on in the leading role. an ocean adventure documentary film maker zissou is put in all imaginable life situations and a tough life crisis as he attempts to make a new film about capturing the creature that caused him pain. life aquatic with steve zissou, the  ['adventure', 'comedy', 'fantasy']"
994,"['topher grace', 'scarlett johansson', 'dennis quaid', 'marg helgenberger', 'david paymer'] paul weitz ['midlife crisis', 'daughter', 'bad boss'] dan foreman is a seasoned advertisement sales executive at a high-ranking publication when a corporate takeover results in him being placed under naive supervisor carter duryea, who is half his age. matters are made worse when dan's new supervisor becomes romantically involved with his daughter an 18 year-old college student alex. in good company  ['comedy', 'drama']"
995,"['tom hanks', 'irma p. hall', 'marlon wayans', 'j.k. simmons', 'tzi ma'] ethan coen|joel coen ['church choir', 'hiding place', 'garbage', 'duringcreditsstinger'] an eccentric, if not charming southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord: a sharp old woman. ladykillers, the  ['comedy', 'crime']"
996,"['kurt russell', 'patricia clarkson', 'noah emmerich', 'sean mccann', 'kenneth welsh'] gavin o'connor ['olympic games', 'sport', 'hockey', 'milwaukee wisconsin', 'st. paul minnesota'] in 1980, the united states ice hockey team's coach, herb brooks, put a ragtag squad of college kids up against the legendary juggernaut from the soviet union at the olympic games. despite the long odds, team usa carried the pride of a nation yearning for a distraction from world events. with the world watching, the team rose to the occasion, prompting broadcaster al michaels' now famous question to the millions viewing at home: ""do you believe in miracles?"" yes! miracle  ['drama']"
997,"['morgan spurlock', 'daryl isaacs', 'lisa ganjhu', 'stephen siegel', 'bridget bennett'] morgan spurlock ['experiment', 'health', 'junk food', 'food industry', 'fast food'] morgan spurlock subjects himself to a diet based only on mcdonald's fast food three times a day for thirty days without exercising to try to prove why so many americans are fat or obese. he submits himself to a complete check-up by three doctors, comparing his weight along the way, resulting in a scary conclusion. super size me  ['comedy', 'documentary', 'drama']"
998,"['marlon brando', 'al pacino', 'james caan', 'richard s. castellano', 'robert duvall'] francis ford coppola ['italy', 'love at first sight', 'loss of father', 'patriarch', 'organized crime'] spanning the years 1945 to 1955, a chronicle of the fictional italian-american corleone crime family. when organized crime family patriarch, vito corleone barely survives an attempt on his life, his youngest son, michael steps in to take care of the would-be killers, launching a campaign of bloody revenge. godfather, the  ['crime', 'drama']"
999,"['jon voight', 'burt reynolds', 'ned beatty', 'ronny cox', 'ed ramey'] john boorman ['strangeness', 'wound', 'wilderness', 'canoe', 'rafting'] the cahulawassee river valley in northern georgia is one of the last natural pristine areas of the state, which will soon change with the imminent building of a dam on the river, which in turn will flood much of the surrounding land. as such, four atlanta city slickers - alpha male lewis medlock, generally even-keeled ed gentry, slightly condescending bobby trippe, and wide-eyed drew ballinger - decide to take a multi-day canoe trip on the river, which turns into a trip they'll never forget into the dangerous american back-country. deliverance  ['adventure', 'drama', 'thriller']"
1000,"['roddy mcdowall', 'don murray', 'joyce haber', 'ricardo montalban', 'natalie trundy'] j. lee thompson ['circus', 'pet', 'human being', 'dystopia', 'insurrection'] in a futuristic world that has embraced ape slavery, caesar, the son of the late simians cornelius and zira, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity. conquest of the planet of the apes  ['action', 'sci-fi']"
1001,"['divine', 'david lochary', 'mary vivian pearce', 'mink stole', 'danny mills'] john waters ['gay', 'trailer park', 'pop culture', 'drug dealer', 'heroin'] notorious baltimore criminal and underground figure divine goes up against connie &amp; raymond marble, a sleazy married couple who make a passionate attempt to humiliate her and seize her tabloid-given title as ""the filthiest person alive"". pink flamingos  ['comedy']"
1002,"['woody allen', 'john carradine', 'lou jacobi', 'louise lasser', 'anthony quayle'] woody allen ['transsexuality', 'perversity', 'sperm', 'orgasm', 'sodomy'] woody allen's fourth film, consisting of a series of short sequences loosely inspired by dr. david reuben's book of the same name. the film was an early smash for allen, grossing over $18 million dollars in the u.s. alone against a $2 million dollar budget. everything you always wanted to know about sex * but were afraid to ask  ['comedy']"
1003,"['gene hackman', 'ernest borgnine', 'red buttons', 'carol lynley', 'roddy mcdowall'] ronald neame|irwin allen ['life and death', 'prostitute', ""new year's eve"", 'sea', 'brother sister relationship'] the poseidon adventure was one of the first catastrophe films and began the disaster film genre. director neame tells the story of a group of people that must fight for their lives aboard a sinking ship. based on the novel by paul gallico. poseidon adventure, the  ['action', 'adventure', 'drama']"
1004,"['mark hamill', 'harrison ford', 'carrie fisher', 'billy dee williams', 'anthony daniels'] irvin kershner ['rebel', 'asteroid', 'space battle', 'snow storm', 'space colony'] the epic saga continues as luke skywalker, in hopes of defeating the evil galactic empire, learns the ways of the jedi from aging master yoda. but darth vader is more determined than ever to capture luke. meanwhile, rebel leader princess leia, cocky han solo, chewbacca, and droids c-3po and r2-d2 are thrown into various stages of capture, betrayal and despair. star wars: episode v - the empire strikes back  ['action', 'adventure', 'sci-fi']"
1005,"['jack nicholson', 'shelley duvall', 'danny lloyd', 'scatman crothers', 'barry nelson'] stanley kubrick ['hotel', 'isolation', 'hotelier', 'colorado', 'maze'] jack torrance accepts a caretaker job at the overlook hotel, where he, along with his wife wendy and their son danny, must live isolated from the rest of the world for the winter. but they aren't prepared for the madness that lurks within. shining, the  ['horror']"
1006,"['robert hays', 'julie hagerty', 'kareem abdul-jabbar', 'lloyd bridges', 'peter graves'] jim abrahams|david zucker|jerry zucker ['chicago', 'alcohol', 'cataclysm', 'guitar', 'medicine'] still craving for the love of his life, ex-air force pilot ted striker follows elaine onto the flight that she is working on as cabin crew. elaine doesn't want to be with ted anymore, but when the crew and passengers fall ill from food poisoning, ted might be the only one who can save them. airplane!  ['comedy']"
1007,"['dan aykroyd', 'john belushi', 'james brown', 'cab calloway', 'ray charles'] john landis ['dancing', 'prison', 'chicago', 'country music', 'nun'] jake blues is just out of jail, and teams up with his brother, elwood on a 'mission from god' to raise funds for the orphanage in which they grew up. the only thing they can do is do what they do best â€“ play music â€“ so they get their old band together and they're on their way, while getting in a bit of trouble here and there. blues brothers, the  ['action', 'comedy', 'musical']"
1008,"['brooke shields', 'christopher atkins', 'leo mckern', 'william daniels', 'jeffrey kleiser'] randal kleiser ['sexual identity', 'shipwreck', 'lovers', 'stranded', 'marooned'] two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. soon, however, the cook dies and the young boy and girl are left on their own. days become years and emmeline (brooke shields) and richard (christopher atkins) make a home for themselves surrounded by exotic creatures and nature's beauty. but will they ever see civilization again? blue lagoon, the  ['adventure', 'drama', 'romance']"
1009,"['robert de niro', 'joe pesci', 'cathy moriarty', 'frank vincent', 'nicholas colasanto'] martin scorsese ['transporter', 'jealousy', 'violent husband', 'paranoia', 'violence in family'] when jake lamotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. but when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. though lamotta wants his family's love, something always seems to come between them. perhaps it's his violent bouts of paranoia and jealousy. this kind of rage helped make him a champ, but in real life, he winds up in the ring alone. raging bull  ['drama']"
1010,"['gene hackman', 'christopher reeve', 'ned beatty', 'jackie cooper', 'sarah douglas'] richard lester ['saving the world', 'dc comics', 'sequel', 'superhero', 'based on comic book'] three escaped criminals from the planet krypton test the man of steel's mettle. led by gen. zod, the kryptonians take control of the white house and partner with lex luthor to destroy superman and rule the world. but superman, who attempts to make himself human in order to get closer to lois, realizes he has a responsibility to save the planet. superman ii  ['action', 'sci-fi']"
1011,"['betsy palmer', 'adrienne king', 'harry crosby', 'laurie bartram', 'jeannine taylor'] sean s. cunningham ['drowning', 'lake', 'cabin', 'cult', 'revenge'] camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning. friday the 13th  ['horror', 'mystery', 'thriller']"
1012,"['anthony hopkins', 'john hurt', 'anne bancroft', 'john gielgud', 'wendy hiller'] david lynch ['exploitation', 'biography', 'hospital', 'curiosity', 'sideshow'] a victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. behind his monstrous facade, there is revealed a person of great intelligence and sensitivity. based on the true story  of joseph merrick (called john merrick in the film), a severely deformed man in 19th century london. elephant man, the  ['drama']"
1013,"['goldie hawn', 'eileen brennan', 'armand assante', 'robert webber', 'mary kay place'] howard zieff ['paris', 'role of women'] a sheltered young high society woman joins the army on a whim and finds herself in a more difficult situation than she ever expected. private benjamin  ['comedy']"
1014,"['n!xau', 'michael thys', 'marius weyers', 'sandra prinsloo', 'louw verwey'] jamie uys ['africa', 'airplane', 'present', 'bottle', 'botswana'] misery is brought to a small group of sho in the kalahari desert in the form of a cola bottle. in his quest to throw the evil object over the edge of the earth, xixo encounters western ""civilization,"" a haphazard doctor and a tyranical despot. gods must be crazy, the  ['adventure', 'comedy']"
1015,"['chevy chase', 'rodney dangerfield', 'ted knight', ""michael o'keefe"", 'bill murray'] harold ramis ['golf', 'underwear', 'sport', 'golf course', 'gopher'] at an exclusive country club, an ambitious young caddy, danny noonan, eagerly pursues a caddy scholarship in hopes of attending college and, in turn, avoiding a job at the lumber yard. in order to succeed, he must first win the favour of the elitist judge smails, and then the caddy golf tournament which smails sponsors. caddyshack  ['comedy']"
1016,"['robin williams', 'shelley duvall', 'ray walston', 'paul dooley', 'richard libertini'] robert altman ['baby', 'blackmail', 'supernatural powers', 'based on cartoon', 'sailor'] popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. during a storm that wrecks his ship, popeye washes ashore and winds up rooming at the oyl household, where he meets olive. before he can win her heart, he must first contend with olive's fiancã©, bluto. popeye  ['adventure', 'comedy', 'musical']"
1017,"['jane fonda', 'lily tomlin', 'dolly parton', 'dabney coleman', 'sterling hayden'] colin higgins ['office worker'] frank hart is a pig. he takes advantage in the grossest manner of the women who work with him. when his three assistants manage to trap him in his own house they assume control of his department and productivity leaps, but just how long can they keep hart tied up? nine to five (a.k.a. 9 to 5)  ['comedy', 'crime']"
1018,"['donald sutherland', 'mary tyler moore', 'judd hirsch', 'timothy hutton', 'm. emmet walsh'] robert redford ['post traumatic stress  disorder', 'depression', 'suicide attempt', 'grief', 'dysfunctional family'] beth, calvin, and their son conrad are living in the aftermath of the death of the other son. conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. he is in therapy. beth had always preferred his brother and is having difficulty being supportive to conrad. calvin is trapped between the two trying to hold the family together. ordinary people  ['drama']"
1019,"['johnny depp', 'orlando bloom', 'keira knightley', 'geoffrey rush', 'bill nighy'] gore verbinski ['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life""] captain barbossa, long believed to be dead, has come back to life and is headed to the edge of the earth with brave will turner and feisty elizabeth swann. and what of jack sparrow? nothing is as it seems. pirates of the caribbean: at world's end  ['action', 'adventure', 'comedy', 'fantasy']"
1020,"['daniel radcliffe', 'rupert grint', 'emma watson', 'michael gambon', 'ralph fiennes'] david yates ['prophecy', 'witch', 'loss of lover', 'cutting the cord', 'child hero'] returning for his fifth year of study at hogwarts, harry is stunned to find that his warnings about the return of lord voldemort have been ignored. left with no choice, harry takes matters into his own hands, training a small group of students â€“ dubbed 'dumbledore's army' â€“ to defend themselves against the dark arts. harry potter and the order of the phoenix  ['adventure', 'drama', 'fantasy', 'imax']"
1021,"['patton oswalt', 'ian holm', 'lou romano', 'brian dennehy', 'peter sohn'] brad bird|jan pinkava ['paris', 'brother brother relationship', 'expensive restaurant', 'river', 'cook'] a rat named remy dreams of becoming a great french chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. when fate places remy in the sewers of paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, auguste gusteau. despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine french restaurant, remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of paris upside down. ratatouille  ['animation', 'children', 'drama']"
1022,"['matt damon', 'julia stiles', 'david strathairn', 'scott glenn', 'paddy considine'] paul greengrass ['paris', 'corruption', 'madrid', 'assassin', 'based on novel'] bourne is brought out of hiding once again by reporter simon ross who is trying to unveil operation blackbriar, an upgrade to project treadstone, in a series of newspaper columns. information from the reporter stirs a new set of memories, and bourne must finally uncover his dark past while dodging the company's best efforts to eradicate him. bourne ultimatum, the  ['action', 'crime', 'thriller']"
1023,"['tommy lee jones', 'javier bardem', 'josh brolin', 'woody harrelson', 'kelly macdonald'] joel coen|ethan coen ['texas', 'drug traffic', 'hitman', 'united statesâ€“mexico barrier', 'suspense'] llewelyn moss stumbles upon dead bodies, $2 million and a hoard of heroin in a texas desert, but methodical killer anton chigurh comes looking for it, with local sheriff ed tom bell hot on his trail. the roles of prey and predator blur as the violent pursuit of money and justice collide. no country for old men  ['crime', 'drama']"
1024,"['will smith', 'alice braga', 'charlie tahan', 'salli richardson-whitfield', 'willow smith'] francis lawrence ['saving the world', 'lost civilisation', 'post-apocalyptic', 'dystopia', 'matter of life and death'] robert neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. immune, neville is now the last human survivor in what is left of new york city and perhaps the world. for three years, neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. but he is not alone. i am legend  ['action', 'horror', 'sci-fi', 'thriller', 'imax']"
1025,"['nicolas cage', 'jon voight', 'harvey keitel', 'ed harris', 'diane kruger'] jon turteltaub ['paris', 'london', 'assassination', 'mount rushmore national memorial', 'riddle'] benjamin franklin gates and dr. abigail chase re-team with riley poole and, now armed with a stack of long-lost pages from john wilkes booth's diary, ben must follow a clue left there to prove his ancestor's innocence in the assassination of abraham lincoln. national treasure: book of secrets  ['action', 'adventure']"
1026,"['tobey maguire', 'kirsten dunst', 'james franco', 'thomas haden church', 'topher grace'] sam raimi ['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness'] the seemingly invincible spider-man goes up against an all-new crop of villains -- including the shape-shifting sandman -- in the third installment of this blockbusting comic book adventure series. while spidey's superpowers are altered by an alien organism, his alter ego, peter parker, deals with nemesis eddie brock and gets caught up in a love triangle. spider-man 3  ['action', 'adventure', 'sci-fi', 'thriller', 'imax']"
1027,"['thomas jane', 'marcia gay harden', 'laurie holden', 'toby jones', 'jeffrey demunn'] frank darabont ['father-son relationship', 'monster', 'supermarket', 'fight', 'artist'] after a violent storm, a dense cloud of mist envelops a small maine town, trapping artist david drayton and his five-year-old son in a local grocery store with other people. they soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity. mist, the  ['horror', 'sci-fi']"
1028,"['claire danes', 'charlie cox', 'michelle pfeiffer', 'robert de niro', 'sienna miller'] matthew vaughn ['witch', 'based on novel', 'new love', 'prince', 'beauty'] in a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. his journey takes him into a world beyond his wildest dreams and reveals his true identity. stardust  ['adventure', 'comedy', 'fantasy', 'romance']"
1029,"['kurt russell', 'zoã« bell', 'rosario dawson', 'vanessa ferlito', 'sydney tamiia poitier'] quentin tarantino ['women', 'disc jockey', 'sports car', 'bar', 'ladykiller'] austin's hottest dj, jungle julia, sets out into the night to unwind with her two friends shanna and arlene. covertly tracking their moves is stuntman mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away. death proof  ['action', 'adventure', 'crime', 'horror', 'thriller']"
1030,"['bruce willis', 'justin long', 'timothy olyphant', 'cliff curtis', 'maggie q'] len wiseman ['usa', 'washington d.c.', 'helicopter', 'hostage', 'fbi'] john mcclane is back and badder than ever, and this time he's working for homeland security. he calls on the services of a young hacker in his bid to stop a ring of internet terrorists intent on taking control of america's computer infrastructure. live free or die hard  ['action', 'adventure', 'crime', 'thriller']"
